game_id,date,honest_home_prob,honest_pick,actual,honest_correct,home_rest_penalty,away_rest_penalty
20251220_23_22,20251220,0.55,home,away,False,-15.0,-15.0
20251220_9_21,20251220,0.8637333304579699,home,home,True,-15.0,-15.0
20251220_20_6,20251220,0.55,home,home,True,-46.0,-15.0
20251220_29_27,20251220,0.8478177204928627,home,away,False,0.0,-15.0
20251220_7_10,20251220,0.9,home,away,False,-15.0,-15.0
20251220_12_13,20251220,0.3054945796253069,away,home,False,-15.0,-15.0
20251220_28_2,20251220,0.3372850492900419,away,away,True,-15.0,-46.0
20251220_8_30,20251220,0.8758917309945133,home,home,True,-15.0,-15.0
20251220_26_19,20251220,0.30875405041391024,away,away,True,-15.0,-15.0
20251221_1_4,20251221,0.55,home,away,False,-15.0,-15.0
20251221_23_10,20251221,0.2875648835236495,away,home,False,-46.0,-46.0
20251221_18_14,20251221,0.8662258696806074,home,home,True,-15.0,-15.0
20251221_27_24,20251221,0.2249946371790854,away,away,True,-46.0,-15.0
20251221_17_28,20251221,0.5103570893490293,home,home,True,0.0,-46.0
20251221_16_15,20251221,0.55,home,home,True,-15.0,0.0
20251222_22_8,20251222,0.3180669565738017,away,away,True,-15.0,-15.0
20251222_25_29,20251222,0.9,home,home,True,0.0,-15.0
20251222_9_19,20251222,0.79650158850579,home,home,True,-15.0,-15.0
20251222_3_6,20251222,0.5009037618629257,home,home,True,-15.0,-15.0
20251222_5_30,20251222,0.9,home,home,True,0.0,-15.0
20251222_7_26,20251222,0.9,home,home,True,-15.0,-15.0
20251222_2_11,20251222,0.8511743235821837,home,home,True,-15.0,-15.0
20251223_21_13,20251223,0.33840089565949794,away,home,False,0.0,0.0
20251223_14_28,20251223,0.55,home,away,False,-15.0,-15.0
20251223_6_7,20251223,0.2799999999999999,away,home,False,-46.0,-46.0
20251223_1_4,20251223,0.5183691376903699,home,away,False,-15.0,-15.0
20251223_24_25,20251223,0.3227684122799166,away,home,False,-15.0,-46.0
20251223_22_19,20251223,0.5255280337185344,home,away,False,-46.0,-46.0
20251223_12_10,20251223,0.3763606668664756,away,home,False,0.0,-15.0
